2.11	147.824	125.976
2.12	148.512	126.458
2.13	149.199	126.939
2.14	149.887	127.419
2.15	150.574	127.898
2.16	151.261	128.375
2.17	151.948	128.852
2.18	152.636	129.328
2.19	153.323	129.803
2.2	154.01	130.276
2.21	154.696	130.749
2.22	155.383	131.221
2.23	156.07	131.691
2.24	156.756	132.161
2.25	157.443	132.629
2.26	158.129	133.096
2.27	158.816	133.563
2.28	159.502	134.028
2.29	160.188	134.492
2.3	160.874	134.956
2.31	161.56	135.418
2.32	162.246	135.879
2.33	162.932	136.339
2.34	163.617	136.798
2.35	164.303	137.256
2.36	164.988	137.713
2.37	165.674	138.169
2.38	166.359	138.624
2.39	167.045	139.078
2.4	167.73	139.531
2.41	168.415	139.983
2.42	169.1	140.434
2.43	169.785	140.884
2.44	170.47	141.332
2.45	171.154	141.78
2.46	171.839	142.227
2.47	172.523	142.672
2.48	173.208	143.117
2.49	173.892	143.56
2.5	174.577	144.003
2.51	175.261	144.444
2.52	175.945	144.885
2.53	176.629	145.324
2.54	177.313	145.762
2.55	177.997	146.2
2.56	178.681	146.636
2.57	179.364	147.071
2.58	180.048	147.505
2.59	180.731	147.938
2.6	181.415	148.37
2.61	182.098	148.802
2.62	182.781	149.232
2.63	183.465	149.661
2.64	184.148	150.089
2.65	184.831	150.516
2.66	185.514	150.941
2.67	186.196	151.366
2.68	186.879	151.79
2.69	187.562	152.213
2.7	188.244	152.635
2.71	188.927	153.055
2.72	189.609	153.475
2.73	190.292	153.894
2.74	190.974	154.311
2.75	191.656	154.728
2.76	192.338	155.144
2.77	193.02	155.558
2.78	193.702	155.972
2.79	194.384	156.384
2.8	195.065	156.795
2.81	195.747	157.206
2.82	196.428	157.615
2.83	197.11	158.024
2.84	197.791	158.431
2.85	198.472	158.837
2.86	199.154	159.242
2.87	199.835	159.647
2.88	200.516	160.05
2.89	201.197	160.452
2.9	201.877	160.853
2.91	202.558	161.253
2.92	203.239	161.652
2.93	203.919	162.05
2.94	204.6	162.447
2.95	205.28	162.843
2.96	205.961	163.238
2.97	206.641	163.632
2.98	207.321	164.025
2.99	208.001	164.416
3	208.681	164.807
3.01	209.361	165.197
3.02	210.041	165.586
3.03	210.721	165.973
3.04	211.4	166.36
3.05	212.08	166.746
3.06	212.759	167.13
3.07	213.439	167.514
3.08	214.118	167.896
3.09	214.797	168.278
3.1	215.476	168.659
3.11	216.155	169.038
3.12	216.834	169.416
3.13	217.513	169.794
3.14	218.192	170.17
3.15	218.87	170.546
3.16	219.549	170.92
3.17	220.228	171.293
3.18	220.906	171.665
3.19	221.584	172.037
3.2	222.263	172.407
3.21	222.941	172.776
3.22	223.619	173.144
3.23	224.297	173.511
3.24	224.975	173.877
3.25	225.653	174.243
3.26	226.33	174.607
3.27	227.008	174.97
3.28	227.686	175.332
3.29	228.363	175.693
3.3	229.041	176.053
3.31	229.718	176.411
3.32	230.395	176.769
3.33	231.072	177.126
3.34	231.749	177.482
3.35	232.426	177.837
3.36	233.103	178.191
3.37	233.78	178.543
3.38	234.457	178.895
3.39	235.133	179.246
3.4	235.81	179.596
3.41	236.487	179.944
3.42	237.163	180.292
3.43	237.839	180.639
3.44	238.515	180.984
3.45	239.192	181.329
3.46	239.868	181.672
3.47	240.544	182.015
3.48	241.22	182.356
3.49	241.895	182.697
3.5	242.571	183.036
3.51	243.247	183.375
3.52	243.922	183.712
3.53	244.598	184.048
3.54	245.273	184.384
3.55	245.948	184.718
3.56	246.624	185.051
3.57	247.299	185.384
3.58	247.974	185.715
3.59	248.649	186.045
3.6	249.324	186.374
3.61	249.998	186.703
3.62	250.673	187.03
3.63	251.348	187.356
3.64	252.022	187.681
3.65	252.697	188.005
3.66	253.371	188.328
3.67	254.045	188.65
3.68	254.72	188.971
3.69	255.394	189.291
3.7	256.068	189.61
3.71	256.742	189.928
3.72	257.416	190.245
3.73	258.089	190.561
3.74	258.763	190.876
3.75	259.437	191.19
3.76	260.11	191.503
3.77	260.784	191.815
3.78	261.457	192.126
3.79	262.13	192.436
3.8	262.803	192.744
3.81	263.477	193.052
3.82	264.15	193.359
3.83	264.823	193.665
3.84	265.495	193.969
3.85	266.168	194.273
3.86	266.841	194.576
3.87	267.514	194.878
3.88	268.186	195.178
3.89	268.858	195.478
3.9	269.531	195.776
3.91	270.203	196.074
3.92	270.875	196.371
3.93	271.547	196.666
3.94	272.219	196.961
3.95	272.891	197.254
3.96	273.563	197.547
3.97	274.235	197.838
3.98	274.907	198.129
3.99	275.578	198.418
4	276.25	198.707
4.01	276.921	198.994
4.02	277.593	199.281
4.03	278.264	199.566
4.04	278.935	199.85
4.05	279.606	200.134
4.06	280.277	200.416
4.07	280.948	200.697
4.08	281.619	200.978
4.09	282.29	201.257
4.1	282.961	201.535
4.11	283.631	201.813
4.12	284.302	202.089
4.13	284.972	202.364
4.14	285.643	202.638
4.15	286.313	202.911
4.16	286.983	203.184
4.17	287.653	203.455
4.18	288.323	203.725
4.19	288.993	203.994
4.2	289.663	204.262
4.21	290.333	204.529
4.22	291.003	204.796
4.23	291.672	205.061
4.24	292.342	205.325
4.25	293.011	205.588
4.26	293.681	205.85
4.27	294.35	206.111
4.28	295.019	206.371
4.29	295.688	206.63
4.3	296.357	206.888
4.31	297.026	207.145
4.32	297.695	207.401
4.33	298.364	207.656
4.34	299.033	207.91
4.35	299.701	208.163
4.36	300.37	208.415
4.37	301.038	208.666
4.38	301.707	208.916
4.39	302.375	209.164
4.4	303.043	209.412
4.41	303.711	209.659
4.42	304.379	209.905
4.43	305.047	210.15
